from_node,to_node,relation
abnormal_blast_proliferation,tumor_cell_breakdown,result
tumor_cell_breakdown,uric_acid_elevation,result
uric_acid_elevation,aki,result
leukemia,chemotherapy,result
chemotherapy,bone_marrow_suppression,result
bone_marrow_suppression,anemia,result
bone_marrow_suppression,thrombocytopenia,result
bone_marrow_suppression,chemo_neutropenia,result
chemo_nausea,vomiting,result
chemotherapy,stomatitis,result
chemotherapy,alopecia,result
leukemia,dic,result
dic,microthrombus,result
microthrombus,aki,result
dic,coagulation_factor_consumption,result
coagulation_factor_consumption,bleeding_tendency,result
schizophrenia,dopamine_hyperactivity,result
dopamine_hyperactivity,positive_symptoms,result
positive_symptoms,hallucination,result
hallucination,auditory_hallucination,result
positive_symptoms,delusion,result
positive_symptoms,agitation,result
negative_symptoms,avolition,result
negative_symptoms,flat_affect,result
negative_symptoms,social_withdrawal,result
negative_symptoms,self_care_deficit,result
cognitive_impairment,attention_deficit,result
cognitive_impairment,memory_impairment,result
schizophrenia,insomnia,result
schizophrenia,anxiety,result
schizophrenia,antipsychotics,result
antipsychotics,extrapyramidal_symptoms,result
extrapyramidal_symptoms,akathisia,result
extrapyramidal_symptoms,tardive_dyskinesia,result
medication_nonadherence,relapse,result
relapse,positive_symptoms,result
cognitive_impairment,self_care_deficit,result
insomnia,anxiety,result
medication_nonadherence,relapse,result
relapse,positive_symptoms,result
relapse,insomnia,result
relapse,anxiety,result
schizophrenia,negative_symptoms,result
schizophrenia,cognitive_impairment,result
cognitive_impairment,difficulty_judgment,result
cognitive_impairment,difficulty_concentration,result
difficulty_judgment,self_care_deficit,result
social_withdrawal,social_adaptation_difficulty,result
self_care_deficit,social_adaptation_difficulty,result
hallucination,reality_testing_impairment,result
delusion,reality_testing_impairment,result
kawasaki_disease,systemic_vasculitis,result
systemic_vasculitis,coronary_arteritis,result
coronary_arteritis,coronary_aneurysm,result
coronary_aneurysm,myocardial_infarction,result
kawasaki_disease,kawasaki_high_fever,result
kawasaki_high_fever,pediatric_dehydration,result
pediatric_dehydration,lethargy,result
systemic_vasculitis,strawberry_tongue,result
systemic_vasculitis,lip_redness,result
systemic_vasculitis,rash,result
systemic_vasculitis,extremity_edema,result
systemic_vasculitis,cervical_lymphadenopathy,result
kawasaki_disease,ivig,result
kawasaki_disease,aspirin,result
kawasaki_disease,ivig,result
kawasaki_disease,ivig,result
kawasaki_disease,oral_mucosal_inflammation,result
ivig,inflammation_control,result
aspirin,antithrombotic_effect,result
high_fever,irritability,result
irritability,sleep_disturbance,result
sleep_disturbance,family_anxiety,result
lethargy,decreased_activity,result
decreased_activity,adl,result
oral_mucosal_inflammation,oral_pain,result
oral_pain,poor_intake,result
eye_conjunctival_inflammation,photophobia,result
coronary_aneurysm,chest_pain,result
aspirin,gastric_mucosal_injury,result
gastric_mucosal_injury,abdominal_pain,result
eye_conjunctival_inflammation,red_eyes,result
oral_mucosal_inflammation,cracked_lips,result
skin_inflammation,red_palms_soles,result
vascular_permeability_increase,swollen_hands_feet,result
systemic_inflammation,bcg_site_redness,result
high_fever,tachycardia,result
ivig,ivig_headache,side_effect
ivig,ivig_nausea,side_effect
ivig,liver_dysfunction,side_effect
ivig,allergic_reaction,side_effect
aspirin,bleeding_tendency,side_effect
aspirin,liver_dysfunction,side_effect
aspirin,reye_syndrome,side_effect
reye_syndrome,consciousness_disturbance,result
poor_intake,reduced_energy,result
reduced_energy,lethargy,result
hypotension,tissue_hypoperfusion,result
tissue_hypoperfusion,anaerobic_metabolism,result
anaerobic_metabolism,lactic_acidosis,result
pregnancy_induced_hypertension,vasospasm,result
vasospasm,hdp_hypertension,result
vasospasm,placental_hypoperfusion,result
placental_hypoperfusion,fetal_hypoxia,result
fetal_hypoxia,fetal_growth_restriction,result
hdp_hypertension,hdp_headache,result
hdp_hypertension,hdp_visual_disturbance,result
vasospasm,cerebral_hypoperfusion,result
cerebral_hypoperfusion,eclampsia,result
eclampsia,hdp_consciousness_disturbance,result
vasospasm,vascular_permeability_increase,result
vascular_permeability_increase,hdp_edema,result
vasospasm,renal_hypoperfusion,result
renal_hypoperfusion,proteinuria,result
atelectasis,breath_sound_decrease,result
pain,deep_breathing_suppression,result
deep_breathing_suppression,alveolar_collapse,result
cough_strength_decrease,secretion_retention,result
secretion_retention,sputum_expectoration_difficulty,result
secretion_retention,crackles,result
atelectasis,chest_pain,result
atel_dyspnea,respiratory_anxiety,result
